"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jefferson County, AL"	"01073"	"Mar., 2001"	"2001/03"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2004"	"2004/04"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2004"	"2004/09"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2004"	"2004/12"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2005"	"2005/09"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2006"	"2006/02"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2006"	"2006/06"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2006"	"2006/09"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2006"	"2006/10"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2006"	"2006/11"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2007"	"2007/01"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2007"	"2007/03"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2007"	"2007/04"	14	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2007"	"2007/06"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2007"	"2007/12"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2008"	"2008/05"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2008"	"2008/08"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2008"	"2008/11"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2009"	"2009/01"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2009"	"2009/02"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2009"	"2009/03"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2009"	"2009/05"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2009"	"2009/06"	14	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2009"	"2009/09"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2009"	"2009/12"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2010"	"2010/03"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2010"	"2010/07"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2010"	"2010/12"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2011"	"2011/02"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2011"	"2011/03"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2011"	"2011/04"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2011"	"2011/05"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2011"	"2011/07"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2011"	"2011/08"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2011"	"2011/09"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2012"	"2012/01"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2012"	"2012/04"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2012"	"2012/05"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2012"	"2012/06"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2012"	"2012/10"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2012"	"2012/11"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2013"	"2013/01"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2013"	"2013/03"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2013"	"2013/04"	19	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2013"	"2013/09"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2013"	"2013/10"	14	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2013"	"2013/11"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2013"	"2013/12"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2014"	"2014/01"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2014"	"2014/02"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2014"	"2014/03"	22	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2014"	"2014/04"	25	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2014"	"2014/05"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2014"	"2014/06"	17	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2014"	"2014/07"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2014"	"2014/08"	28	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2014"	"2014/09"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2014"	"2014/10"	11	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2014"	"2014/11"	19	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2014"	"2014/12"	21	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2015"	"2015/01"	26	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2015"	"2015/02"	19	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2015"	"2015/03"	23	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2015"	"2015/04"	23	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2015"	"2015/05"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2015"	"2015/06"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2015"	"2015/07"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2015"	"2015/09"	16	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2015"	"2015/10"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2015"	"2015/12"	13	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2016"	"2016/01"	21	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2016"	"2016/02"	22	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2016"	"2016/04"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2016"	"2016/05"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2016"	"2016/06"	46	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2016"	"2016/07"	32	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2016"	"2016/08"	20	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2016"	"2016/09"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2016"	"2016/10"	18	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2016"	"2016/11"	23	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2016"	"2016/12"	27	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2017"	"2017/01"	24	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2017"	"2017/02"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2017"	"2017/03"	29	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2017"	"2017/04"	19	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2017"	"2017/05"	24	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2017"	"2017/06"	29	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2017"	"2017/07"	24	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2017"	"2017/08"	22	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2017"	"2017/09"	14	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2017"	"2017/10"	20	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2017"	"2017/11"	26	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2017"	"2017/12"	32	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jan., 2018"	"2018/01"	27	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Feb., 2018"	"2018/02"	26	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Mar., 2018"	"2018/03"	26	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Apr., 2018"	"2018/04"	23	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"May, 2018"	"2018/05"	20	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jun., 2018"	"2018/06"	15	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Jul., 2018"	"2018/07"	17	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Aug., 2018"	"2018/08"	25	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Sep., 2018"	"2018/09"	20	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Oct., 2018"	"2018/10"	19	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Nov., 2018"	"2018/11"	20	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"Dec., 2018"	"2018/12"	19	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"May, 2016"	"2016/05"	12	Not Applicable	Not Applicable
	"Madison County, AL"	"01089"	"Jan., 2017"	"2017/01"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"May, 2004"	"2004/05"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Feb., 2008"	"2008/02"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Dec., 2009"	"2009/12"	13	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Apr., 2011"	"2011/04"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Oct., 2012"	"2012/10"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Aug., 2013"	"2013/08"	11	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jan., 2014"	"2014/01"	11	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Jun., 2014"	"2014/06"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"Mar., 2016"	"2016/03"	10	Not Applicable	Not Applicable
	"Mobile County, AL"	"01097"	"May, 2018"	"2018/05"	10	Not Applicable	Not Applicable
	"Shelby County, AL"	"01117"	"Aug., 2015"	"2015/08"	12	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"May, 2001"	"2001/05"	10	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Mar., 2008"	"2008/03"	11	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"May, 2017"	"2017/05"	17	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Sep., 2017"	"2017/09"	11	Not Applicable	Not Applicable
	"Anchorage Borough, AK"	"02020"	"Dec., 2018"	"2018/12"	10	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 1999"	"1999/01"	24	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 1999"	"1999/02"	27	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 1999"	"1999/03"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 1999"	"1999/04"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 1999"	"1999/05"	31	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 1999"	"1999/06"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 1999"	"1999/07"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 1999"	"1999/08"	33	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 1999"	"1999/09"	16	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 1999"	"1999/10"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 1999"	"1999/11"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 1999"	"1999/12"	22	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2000"	"2000/01"	22	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2000"	"2000/02"	21	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2000"	"2000/03"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2000"	"2000/04"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2000"	"2000/05"	29	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2000"	"2000/06"	27	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2000"	"2000/07"	36	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2000"	"2000/08"	25	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2000"	"2000/09"	34	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2000"	"2000/10"	20	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2000"	"2000/11"	14	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2000"	"2000/12"	10	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2001"	"2001/01"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2001"	"2001/02"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2001"	"2001/03"	23	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2001"	"2001/04"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2001"	"2001/05"	27	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2001"	"2001/06"	23	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2001"	"2001/07"	36	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2001"	"2001/08"	38	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2001"	"2001/09"	28	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2001"	"2001/10"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2001"	"2001/11"	24	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2001"	"2001/12"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2002"	"2002/01"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2002"	"2002/02"	25	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2002"	"2002/03"	34	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2002"	"2002/04"	38	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2002"	"2002/05"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2002"	"2002/06"	43	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2002"	"2002/07"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2002"	"2002/08"	29	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2002"	"2002/09"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2002"	"2002/10"	33	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2002"	"2002/11"	22	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2002"	"2002/12"	27	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2003"	"2003/01"	29	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2003"	"2003/02"	25	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2003"	"2003/03"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2003"	"2003/04"	21	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2003"	"2003/05"	37	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2003"	"2003/06"	31	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2003"	"2003/07"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2003"	"2003/08"	45	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2003"	"2003/09"	29	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2003"	"2003/10"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2003"	"2003/11"	33	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2003"	"2003/12"	39	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2004"	"2004/01"	29	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2004"	"2004/02"	43	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2004"	"2004/03"	38	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2004"	"2004/04"	26	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2004"	"2004/05"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2004"	"2004/06"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2004"	"2004/07"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2004"	"2004/08"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2004"	"2004/09"	33	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2004"	"2004/10"	39	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2004"	"2004/11"	30	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2004"	"2004/12"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2005"	"2005/01"	40	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2005"	"2005/02"	42	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2005"	"2005/03"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2005"	"2005/04"	39	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2005"	"2005/05"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2005"	"2005/06"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2005"	"2005/07"	59	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2005"	"2005/08"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2005"	"2005/09"	40	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2005"	"2005/10"	35	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2005"	"2005/11"	56	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2005"	"2005/12"	40	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2006"	"2006/01"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2006"	"2006/02"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2006"	"2006/03"	55	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2006"	"2006/04"	48	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2006"	"2006/05"	45	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2006"	"2006/06"	58	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2006"	"2006/07"	65	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2006"	"2006/08"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2006"	"2006/09"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2006"	"2006/10"	60	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2006"	"2006/11"	42	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2006"	"2006/12"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2007"	"2007/01"	48	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2007"	"2007/02"	42	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2007"	"2007/03"	54	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2007"	"2007/04"	54	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2007"	"2007/05"	44	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2007"	"2007/06"	56	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2007"	"2007/07"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2007"	"2007/08"	55	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2007"	"2007/09"	45	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2007"	"2007/10"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2007"	"2007/11"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2007"	"2007/12"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2008"	"2008/01"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2008"	"2008/02"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2008"	"2008/03"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2008"	"2008/04"	53	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2008"	"2008/05"	52	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2008"	"2008/06"	41	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2008"	"2008/07"	12	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2008"	"2008/08"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2008"	"2008/09"	57	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2008"	"2008/10"	38	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2008"	"2008/11"	42	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2008"	"2008/12"	47	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2009"	"2009/01"	14	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2009"	"2009/02"	32	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2009"	"2009/03"	54	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2009"	"2009/04"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2009"	"2009/05"	69	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2009"	"2009/06"	44	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2009"	"2009/07"	61	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2009"	"2009/08"	55	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2009"	"2009/09"	57	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2009"	"2009/10"	43	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2009"	"2009/11"	62	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2009"	"2009/12"	57	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2010"	"2010/01"	43	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2010"	"2010/02"	33	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2010"	"2010/03"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Apr., 2010"	"2010/04"	59	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"May, 2010"	"2010/05"	49	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jun., 2010"	"2010/06"	59	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jul., 2010"	"2010/07"	73	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Aug., 2010"	"2010/08"	69	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Sep., 2010"	"2010/09"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Oct., 2010"	"2010/10"	58	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Nov., 2010"	"2010/11"	48	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Dec., 2010"	"2010/12"	51	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Jan., 2011"	"2011/01"	50	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Feb., 2011"	"2011/02"	60	Not Applicable	Not Applicable
	"Maricopa County, AZ"	"04013"	"Mar., 2011"	"2011/03"	63	Not Applicable	Not Applicable
